FirstSurvey,Surveyno,WVDNRID,Date,JulianDay,Year,County,Scout,Land,Hours,PublicPrivate,Gobbling,Gcalled,GSeen,JSeen,GKilled,GCrip,GMissed,Intensity,HHeard,TotCalled,HSeen,HCalled,UnknownTK,Deer,Squirrels,Bear,Fox,Bobcats,RGFlushed,RGDrum,Coyotes,TKWinKill,DRWinKill,Temp,Precip,Wind,Cloud,Woods,Batch,Region,District,StartDate,WOS
1,190652,,4/15/2019,104,2019,Calhoun,0,0,3.5,,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,GH19J229,5,6,4/15/2019,1
0,190651,,4/25/2019,114,2019,Ritchie,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,5,6,4/15/2019,2
0,190651,,4/18/2019,107,2019,Ritchie,0,0,5,,1,0,0,0,0,0,0,,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,5,6,4/15/2019,1
0,190651,,4/17/2019,106,2019,Ritchie,0,0,4,,0,0,0,0,0,0,0,,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,5,6,4/15/2019,1
0,190651,,4/16/2019,105,2019,Ritchie,0,0,4,,0,0,0,0,0,0,0,,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,5,6,4/15/2019,1
1,190651,,4/15/2019,104,2019,Ritchie,0,0,5,,0,0,0,0,0,0,0,,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3,4,3,0,0,GH19J229,5,6,4/15/2019,1
0,190650,218816,5/7/2019,126,2019,Boone,0,0,2,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,GH19J229,3,5,4/15/2019,4
0,190650,218816,5/3/2019,122,2019,Boone,0,0,3.5,,6,2,2,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,3
0,190650,218816,4/29/2019,118,2019,Boone,0,0,2.5,,6,1,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,3
0,190650,218816,4/25/2019,114,2019,Boone,0,0,1.5,,2,2,2,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,2
0,190650,218816,4/23/2019,112,2019,Boone,0,0,2.5,,1,1,1,0,0,0,0,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,GH19J229,3,5,4/15/2019,2
0,190650,218816,4/22/2019,111,2019,Boone,0,0,3.5,,2,1,1,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,2
0,190650,218816,4/21/2019,110,2019,Boone,0,0,4,,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,4,0,0,GH19J229,3,5,4/15/2019,1
0,190650,218816,4/17/2019,106,2019,Boone,0,0,2,,4,3,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,1
0,190650,218816,4/16/2019,105,2019,Boone,0,0,5,,3,2,1,1,0,0,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,1
1,190650,218816,4/15/2019,104,2019,Boone,0,0,2.5,,1,1,1,0,1,0,0,4,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,3,6,5,0,0,GH19J229,3,5,4/15/2019,1
0,190649,,5/4/2019,123,2019,Wyoming,0,0,2,,0,1,0,0,1,0,0,,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,4,4/15/2019,3
0,190649,,4/27/2019,116,2019,Wyoming,0,0,3,,0,0,0,0,0,0,0,,0,0,1,0,1,5,6,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J229,3,4,4/15/2019,2
0,190649,,4/20/2019,109,2019,Wyoming,0,0,4,,0,0,0,0,0,0,0,,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J229,3,4,4/15/2019,1
1,190649,,4/15/2019,104,2019,Wyoming,0,0,4,,1,0,0,0,0,0,0,,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,3,3,5,0,0,GH19J229,3,4,4/15/2019,1
0,190648,65383,4/18/2019,107,2019,Putnam,0,0,3,,0,2,2,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,6,5,4/15/2019,1
0,190648,65383,4/16/2019,105,2019,Putnam,0,0,3,,0,0,0,2,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,6,5,4/15/2019,1
1,190648,65383,4/15/2019,104,2019,Putnam,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,GH19J229,6,5,4/15/2019,1
0,190647,,4/25/2019,114,2019,Monongalia,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,GH19J229,4,1,4/15/2019,2
0,190647,,4/24/2019,113,2019,Monongalia,0,0,3,,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,4,1,4/15/2019,2
0,190647,,4/20/2019,109,2019,Monongalia,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,4,1,4/15/2019,1
0,190647,,4/18/2019,107,2019,Monongalia,0,0,3,,7,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,4,1,4/15/2019,1
0,190647,,4/17/2019,106,2019,Monongalia,0,0,3,,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,4,1,4/15/2019,1
1,190647,,4/16/2019,105,2019,Monongalia,0,0,2,,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,4,1,4/15/2019,1
0,190646,,5/1/2019,120,2019,Marion,0,0,2,,4,3,4,0,1,0,0,4,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,4,1,4/15/2019,3
0,190646,,4/30/2019,119,2019,Marion,0,0,6,,3,3,6,0,0,0,1,3,2,3,2,0,0,5,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,4,1,4/15/2019,3
0,190646,,4/27/2019,116,2019,Marion,0,0,6,,2,4,4,2,0,0,0,4,3,5,1,1,0,15,0,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J229,4,1,4/15/2019,2
0,190646,,4/26/2019,115,2019,Marion,0,0,2,,2,5,5,1,0,0,0,2,1,8,3,3,0,6,0,0,0,0,0,0,0,0,0,1,4,5,0,0,GH19J229,4,1,4/15/2019,2
0,190646,,4/25/2019,114,2019,Monongalia,0,0,5,,2,2,6,2,0,0,1,2,4,2,3,0,0,10,0,0,0,0,0,0,0,0,0,2,4,4,0,0,GH19J229,4,1,4/15/2019,2
0,190646,,4/24/2019,113,2019,Marion,0,0,3,,2,0,3,2,0,0,0,2,3,0,2,0,0,5,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,4,1,4/15/2019,2
0,190646,,4/23/2019,112,2019,Marion,0,0,6,,4,3,4,0,0,0,0,4,4,3,1,0,0,10,0,0,0,0,0,0,1,0,0,2,1,5,0,0,GH19J229,4,1,4/15/2019,2
0,190646,,4/20/2019,109,2019,Marion,0,0,4,,2,0,7,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,4,1,4/15/2019,1
0,190646,,4/19/2019,108,2019,Marion,0,0,2,,2,1,4,0,0,0,0,,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,GH19J229,4,1,4/15/2019,1
0,190646,,4/18/2019,107,2019,Marion,0,0,2,,2,1,11,1,0,0,0,2,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,1,1,5,0,0,GH19J229,4,1,4/15/2019,1
0,190646,,4/17/2019,106,2019,Braxton,0,0,5,,0,0,2,0,0,0,0,,2,0,2,0,0,20,0,0,0,0,0,0,0,0,0,1,1,2,0,0,GH19J229,4,3,4/15/2019,1
0,190646,,4/16/2019,105,2019,Marion,0,0,6,,2,2,5,0,0,0,0,2,3,2,5,0,0,4,0,0,0,0,0,0,0,0,0,3,1,4,0,0,GH19J229,4,1,4/15/2019,1
1,190646,,4/15/2019,104,2019,Marion,0,0,6,,4,6,15,0,0,0,1,4,2,6,3,0,0,7,0,0,0,0,0,0,1,1,0,4,1,5,0,0,GH19J229,4,1,4/15/2019,1
0,190645,12863,4/24/2019,113,2019,Roane,0,0,5,,2,1,1,0,1,0,0,3,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,6,6,4/15/2019,2
1,190645,12863,4/23/2019,112,2019,Roane,0,0,4,,3,1,1,0,1,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,3,1,1,0,0,GH19J229,6,6,4/15/2019,2
0,190644,217411,5/2/2019,121,2019,Mineral,0,0,5,,1,1,1,0,0,0,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,1,2,4/15/2019,3
0,190644,217411,5/1/2019,120,2019,Mineral,0,0,3,,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,1,2,4/15/2019,3
0,190644,217411,4/30/2019,119,2019,Hampshire,0,0,6,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,1,2,4/15/2019,3
0,190644,217411,4/29/2019,118,2019,Mineral,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,1,2,4/15/2019,3
0,190644,217411,4/23/2019,112,2019,Mineral,0,0,3,,1,0,0,0,0,0,0,5,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,3,1,1,0,0,GH19J229,1,2,4/15/2019,2
0,190644,217411,4/22/2019,111,2019,Mineral,0,0,4,,1,0,0,0,0,0,0,5,0,1,3,1,0,5,5,0,0,0,0,0,0,0,0,3,1,1,0,0,GH19J229,1,2,4/15/2019,2
0,190644,217411,4/17/2019,106,2019,Mineral,0,0,3.5,,3,2,2,0,1,0,0,4,2,3,1,1,3,1,5,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,1,2,4/15/2019,1
0,190644,217411,4/16/2019,105,2019,Mineral,0,0,5,,0,0,0,0,0,0,0,5,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,1,2,4/15/2019,1
1,190644,217411,4/15/2019,104,2019,Mineral,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,0,0,GH19J229,1,2,4/15/2019,1
0,190643,,4/29/2019,118,2019,Summers,0,0,2,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,3,4,4/15/2019,3
0,190643,,4/18/2019,107,2019,Summers,0,0,3,,0,0,1,0,0,0,0,,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,GH19J229,3,4,4/15/2019,1
0,190643,,4/16/2019,105,2019,Summers,0,0,4,,0,0,0,0,0,0,0,,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,4,1,4,0,0,GH19J229,3,4,4/15/2019,1
1,190643,,4/15/2019,104,2019,Summers,0,0,2,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,GH19J229,3,4,4/15/2019,1
0,190642,,5/7/2019,126,2019,Mason,0,0,1.5,,2,2,2,1,1,0,0,3,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,6,5,4/15/2019,4
0,190642,,5/6/2019,125,2019,Mason,0,0,2,,2,3,3,0,0,0,0,3,3,6,3,3,0,0,1,0,0,0,0,0,0,0,0,3,2,5,0,0,GH19J229,6,5,4/15/2019,4
0,190642,,5/4/2019,123,2019,Mason,0,0,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,6,5,4/15/2019,3
0,190642,,5/2/2019,121,2019,Mason,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,1,0,0,GH19J229,6,5,4/15/2019,3
0,190642,,5/1/2019,120,2019,Mason,0,0,3,,4,1,2,3,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,6,5,4/15/2019,3
0,190642,,4/30/2019,119,2019,Mason,0,0,3,,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,6,5,4/15/2019,3
0,190642,,4/29/2019,118,2019,Mason,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,0,0,GH19J229,6,5,4/15/2019,3
0,190642,,4/27/2019,116,2019,Mason,0,0,2,,2,2,0,2,0,0,0,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,6,5,4/15/2019,2
0,190642,,4/25/2019,114,2019,Mason,0,0,3,,3,0,0,0,0,0,0,5,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,0,GH19J229,6,5,4/15/2019,2
0,190642,,4/24/2019,113,2019,Mason,0,0,3,,3,2,2,5,0,0,0,2,5,7,5,5,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,6,5,4/15/2019,2
0,190642,,4/23/2019,112,2019,Mason,0,0,3,,8,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,6,5,4/15/2019,2
0,190642,,4/22/2019,111,2019,Mason,0,0,3,,8,1,1,0,0,0,0,3,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,6,5,4/15/2019,2
0,190642,,4/19/2019,108,2019,Mason,0,0,3,,1,7,0,7,0,0,0,5,3,10,3,3,0,1,0,0,0,0,0,0,0,0,0,2,3,4,0,0,GH19J229,6,5,4/15/2019,1
0,190642,,4/18/2019,107,2019,Mason,0,0,3,,3,1,0,1,0,0,0,5,1,2,1,1,0,2,9,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J229,6,5,4/15/2019,1
0,190642,,4/17/2019,106,2019,Mason,0,0,3,,4,0,0,0,0,0,0,2,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,6,5,4/15/2019,1
0,190642,,4/16/2019,105,2019,Mason,0,0,3,,1,2,0,2,0,0,0,5,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,4,1,3,0,0,GH19J229,6,5,4/15/2019,1
1,190642,,4/15/2019,104,2019,Mason,0,0,2.5,,3,2,4,2,1,0,0,5,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J229,6,5,4/15/2019,1
0,190641,348887,4/18/2019,107,2019,Nicholas,0,0,6,,6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,3,3,4/15/2019,1
0,190641,348887,4/17/2019,106,2019,Nicholas,0,0,6,,4,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,3,3,4/15/2019,1
0,190641,348887,4/16/2019,105,2019,Nicholas,0,0,6,,3,1,1,0,1,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J229,3,3,4/15/2019,1
1,190641,348887,4/15/2019,104,2019,Nicholas,0,0,6,,3,8,2,6,0,0,1,1,3,11,3,3,0,0,5,0,0,1,0,0,1,0,0,3,6,3,0,0,GH19J229,3,3,4/15/2019,1
0,190640,,5/4/2019,123,2019,Kanawha,0,0,7,,8,1,1,1,0,0,1,4,3,2,1,1,3,0,4,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,3
0,190640,,4/20/2019,109,2019,Kanawha,0,0,6,,4,3,3,0,0,0,0,4,1,3,0,0,3,2,4,0,0,0,0,0,0,0,0,2,4,5,0,0,GH19J229,3,5,4/15/2019,1
0,190640,,4/18/2019,107,2019,Kanawha,0,0,6,,2,0,0,0,0,0,0,3,1,0,0,0,1,2,6,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,1
1,190640,,4/17/2019,106,2019,Kanawha,0,0,7,,3,0,0,0,0,0,0,3,1,0,1,0,0,1,8,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,3,5,4/15/2019,1
